name	rc	fixme	unsupported	missing_import	vm_fail	dll_fail	seh_tail	log
npp_arm64	143	0	0	0	0	0	0	reports/lane-c-arm64ec-app-post-wineusb-20260605153026/npp_arm64.log
win7_calc_rebased_reloc_x64	143	0	0	0	0	0	0	reports/lane-c-arm64ec-app-post-wineusb-20260605153026/win7_calc_rebased_reloc_x64.log
