fixture	run_rc	fixture_ok	unsupported	ioctl_unsupported	vm_fail	dll_fail	fixme_stub	actctx	hb_runtime_fail	seh_invalid
process_spawn_cmd_arm64.exe	2	0	0	0	0	0	0	6	0	3
process_spawn_env_arm64.exe	0	1	0	0	0	0	0	7	0	3
named_pipe_arm64.exe	unknown-killed	0	0	0	0	0	0	3	0	1810365
