fixture	run_rc	stdout_like	unsupported	vm_fail	dll_fail	fixme_stub	actctx	hb_runtime_fail	seh_invalid
com_initialize_arm64.exe	143	90	0	0	0	0	10	0	21485
ole_initialize_arm64.exe	143	86	0	0	0	0	3	0	53087
shell_known_folder_arm64.exe	2	85	0	0	0	0	6	0	4
