fixture	run_rc	fixture_ok	wow64_markers	btcpu_markers	cpu_simulate_markers	unsupported	ioctl_unsupported	vm_fail	dll_fail	fixme_stub	seh_invalid
hello_x86.exe	143	0	4	0	0	0	0	0	0	0	12979
winsock_init_x86.exe	143	0	0	0	0	0	0	0	0	0	5
