fixture	run_rc	stdout_like	unsupported	vm_fail	dll_fail	fixme_stub	actctx	hb_runtime_fail	seh_invalid
common_controls_arm64.exe	0	235	0	0	0	0	6	0	3
user32_dialog_autoexit_arm64.exe	143	3	0	0	0	0	3	0	87403
gdi_font_arm64.exe	143	3	0	0	0	0	3	0	54775
